Date,Open,High,Low,Close,Adj Close,Volume
1995-10-16,5.750000,5.812500,5.750000,5.812500,1.968881,62000
1995-10-17,5.812500,5.812500,5.812500,5.812500,1.968881,53200
1995-10-18,5.781250,5.843750,5.781250,5.812500,1.968881,72000
1995-10-19,5.843750,5.843750,5.812500,5.812500,1.968881,5200
1995-10-20,5.718750,5.718750,5.656250,5.656250,1.915953,16400
1995-10-23,5.468750,5.468750,5.250000,5.250000,1.778345,34000
1995-10-24,5.187500,5.343750,5.125000,5.343750,1.810100,50400
1995-10-25,5.312500,5.312500,5.218750,5.218750,1.767758,65600
1995-10-26,5.281250,5.281250,5.187500,5.187500,1.757172,63200
1995-10-27,5.125000,5.406250,5.125000,5.406250,1.831270,145200
1995-10-30,5.468750,5.500000,5.312500,5.406250,1.831270,65200
1995-10-31,5.656250,5.750000,5.593750,5.625000,1.905368,88400
1995-11-01,5.656250,5.656250,5.562500,5.593750,1.894782,45200
1995-11-02,5.562500,5.687500,5.562500,5.687500,1.926538,13200
1995-11-03,5.718750,5.718750,5.687500,5.718750,1.937123,35200
1995-11-06,5.656250,5.750000,5.656250,5.750000,1.947710,110000
1995-11-07,5.625000,5.687500,5.625000,5.687500,1.926538,16800
1995-11-08,5.656250,5.656250,5.656250,5.656250,1.915953,33600
1995-11-09,5.687500,5.687500,5.593750,5.593750,1.894782,12000
1995-11-10,5.562500,5.593750,5.562500,5.593750,1.894782,11200
1995-11-13,5.625000,5.718750,5.593750,5.718750,1.937123,14000
1995-11-14,5.656250,5.718750,5.656250,5.718750,1.937123,12800
1995-11-15,5.656250,5.656250,5.625000,5.625000,1.905368,5600
1995-11-16,5.718750,5.718750,5.687500,5.687500,1.926538,4800
1995-11-17,5.687500,5.718750,5.687500,5.687500,1.926538,11200
1995-11-20,5.687500,5.750000,5.687500,5.718750,1.937123,10000
1995-11-21,5.718750,5.718750,5.718750,5.718750,1.937123,0
1995-11-22,5.750000,5.750000,5.750000,5.750000,1.947710,1600
1995-11-24,5.781250,5.781250,5.781250,5.781250,1.958295,400
1995-11-27,5.781250,5.812500,5.781250,5.812500,1.968881,8000
1995-11-28,5.750000,5.781250,5.750000,5.781250,1.958295,6800
1995-11-29,5.718750,5.718750,5.718750,5.718750,1.937123,9200
